Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
30,11,11,1700000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",,,2013,,,,,Евроремонт,Блочный,,,
32,1,5,1850000,"Калининградская область, Калининград, р-н Ленинградский, улица Куйбышева",,,1980,1, совмещенный,,,Евроремонт,,,,
33,3,5,1800000,"Калининградская область, Калининград, р-н Ленинградский, Лесопильная улица",,,,1, совмещенный,1, балкон,Косметический,Панельный,,,
19,3,5,1600000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького, 12",12,5,,1, совмещенный,,,Косметический,,,,
33.5,5,9,2400000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица, 1",,,2019,1, совмещенный,1, лоджия,Без ремонта,,,,
36.3,2,5,1970000,"Калининградская область, Калининград, р-н Ленинградский, Чувашская улица",,,1980,1, совмещенный,1, балкон,Евроремонт,Кирпичный,,,
38,1,5,1650000,"Калининградская область, Калининград, р-н Ленинградский, улица Сергея Тюленина",,,1978,,,,,Косметический,Блочный,,,
43,8,12,3600000,"Калининградская область, Калининград, р-н Ленинградский, Пионерская улица, 61",29,12,2019,1, совмещенный,1, балкон,Без ремонта,,,,
34.3,8,9,2100000,"Калининградская область, Калининград, р-н Ленинградский, улица Фрунзе, 52",14,7,1977,,,,,,Панельный,Железобетонные,Центральное,Центральное
33,3,5,1691000,"Калининградская область, Калининград, р-н Ленинградский, Краснопрудная улица, 45",18,8,1973,,,1, балкон,,Блочный,Железобетонные,Центральное,Центральное
