Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
34,3,5,1460000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",,,,1, совмещенный,1, балкон,Косметический,Блочный,,,
31,3,5,1800000,"Калининградская область, Калининград, р-н Московский, улица Младшего лейтенанта Ротко",,,,1, совмещенный,1, балкон,Евроремонт,Блочный,,,
40,2,10,2100000,"Калининградская область, Калининград, р-н Московский, Интернациональная улица",,,,1, раздельный,1, лоджия,Косметический,,,,
32,2,8,1800000,"Калининградская область, Калининград, р-н Московский, Автомобильная улица, 12Б",,,,,,,,,,,,
29.2,2,3,1500000,"Калининградская область, Калининград, р-н Московский, переулок Пархоменко, 4",14.1,8.8,2017,1, совмещенный,,,Косметический,,,,
39.9,4,5,1870000,"Калининградская область, Калининград, р-н Московский, Южный бульвар",20,9,1997,1, совмещенный,1, балкон,Косметический,Панельный,,,
36,5,5,1400000,"Калининградская область, Калининград, р-н Московский, улица Ульяны Громовой",,,,1, совмещенный,1, балкон,Косметический,,,,
34,3,5,1460000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",,,1975,1, совмещенный,1, балкон,Косметический,Панельный,,,
35,1,5,1950000,"Калининградская область, Калининград, р-н Московский, улица Багратиона",,,,1, совмещенный,1, лоджия,Косметический,,,,
35,2,5,1700000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского",,,1985,,,,,Косметический,Кирпичный,,,
35,2,5,1950000,"Калининградская область, Калининград, р-н Московский, Печатная улица, 55",,,2014,1, совмещенный,1, балкон,Без ремонта,Блочный,Смешанные,Автономная котельная,Центральное
37,3,5,1900000,"Калининградская область, Калининград, р-н Московский, Южный бульвар, 45",,,2000,1, совмещенный,1, балкон,Косметический,Панельный,Железобетонные,Центральное,Центральное
35.88,3,10,1873000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина, 48",14,9,,1, совмещенный,1, лоджия,Без ремонта,,,,
30,5,5,2190000,"Калининградская область, Калининград, р-н Московский, улица Багратиона, 74",16.5,6.5,,1, совмещенный,1, балкон,Косметический,,,,
41.2,2,7,3680000,"Калининградская область, Калининград, р-н Московский, Октябрьская улица, 57",19.9,10,2018,1, совмещенный,1, балкон,Без ремонта,,,,
31,6,8,2160000,"Калининградская область, Калининград, р-н Московский, улица Маршала Новикова, 13",14,7,2016,1, раздельный,1, балкон,Косметический,,,,
31.2,1,4,2100000,"Калининградская область, Калининград, р-н Московский, проспект Калинина, 91",17.4,8.7,1945,1, совмещенный,,,Косметический,Кирпичный,Смешанные,Котел/Квартирное отопление,Центральное
41,3,9,2066000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина, 48",15.5,12.4,,1, совмещенный,1, лоджия,Без ремонта,,,,
38,9,10,2200000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина",,,2019,,,1, лоджия,Косметический,Кирпичный,,,
63,3,9,1800000,"Калининградская область, Калининград, р-н Московский, Прибрежный мкр, улица Строительная",,,,1, раздельный,1, балкон,Косметический,Монолитный,,,
44,1,10,2300000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского, 168А",18.9,12.9,2016,1, совмещенный,1, лоджия,Косметический,Панельный,Железобетонные,Котел/Квартирное отопление,Центральное
33.5,8,9,1650000,"Калининградская область, Калининград, р-н Московский, Инженерная улица",,,1983,1, совмещенный,1, балкон,Евроремонт,Блочный,,,
22,5,5,1100000,"Калининградская область, Калининград, р-н Московский, Черниговская улица, 31А",12,5,1978,1, совмещенный,1, балкон,Косметический,,,,
42,6,8,2200000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",,,2012,,,1, лоджия,Евроремонт,Кирпичный,,,
36,2,5,1900000,"Калининградская область, Калининград, р-н Московский, площадь Калинина",,,1973,1, совмещенный,,,Косметический,Кирпичный,,,
38,7,9,2000000,"Калининградская область, Калининград, р-н Московский, Судостроительная улица, 87",17.5,12.4,2014,1, совмещенный,1, балкон,Без ремонта,Кирпичный,Железобетонные,Автономная котельная,Центральное
31.5,2,4,2100000,"Калининградская область, Калининград, р-н Московский, проспект Калинина, 73",,,1970,1, раздельный,1, балкон,Косметический,,,,
30,10,10,2150000,"Калининградская область, Калининград, р-н Московский, улица Александра Суворова, 29",9,,2015,1, совмещенный,,,Косметический,Кирпичный,Железобетонные,Центральное,
32,1,5,1750000,"Калининградская область, Калининград, р-н Московский, Казанская улица, 4",18,6,,1, совмещенный,,,Косметический,,,,
13.2,1,4,1500000,"Калининградская область, Калининград, р-н Московский, улица Багратиона, 73А",,,1945,1, раздельный,1, балкон,Косметический,Кирпичный,Смешанные,Котел/Квартирное отопление,Центральное
41.4,7,8,2900000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова",17,12,2019,1, совмещенный,1, балкон,Евроремонт,Кирпичный,,,
33,1,9,2300000,"Калининградская область, Калининград, р-н Московский, Эльблонгская улица, 23",15,7,1976,1, совмещенный,1, балкон,Косметический,,,,
32,6,10,2050000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина",,,,1, совмещенный,1, балкон,Косметический,,,,
34,1,9,2200000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",,13,2018,1, совмещенный,1, балкон,Евроремонт,,,,
37.6,7,9,1850000,"Калининградская область, Калининград, р-н Московский, улица Чаадаева, 33",19.1,9,,1, совмещенный,,,,,,,
39,5,10,2250000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского",,,,1, совмещенный,1, балкон,Евроремонт,,,,
30,1,5,1700000,"Калининградская область, Калининград, р-н Московский, улица Багратиона, 89",18,5.5,,1, совмещенный,,,Без ремонта,,,,
29,3,3,1500000,"Калининградская область, Калининград, р-н Московский, Судостроительный переулок",11,6,,1, совмещенный,,,Косметический,,,,
32,2,2,2000000,"Калининградская область, Калининград, р-н Московский, улица Нансена, 17",10,15,1952,1, раздельный,1, балкон,,Блочный,Смешанные,Автономная котельная,Центральное
19,1,3,1220000,"Калининградская область, Калининград, р-н Московский, улица Александра Суворова, 41",10,3,1945,1, совмещенный,,,Косметический,Кирпичный,Смешанные,Центральное,
31,4,5,1700000,"Калининградская область, Калининград, р-н Московский, Школьная улица",,,1977,1, совмещенный,,,Евроремонт,Блочный,,,
32.7,4,9,1550000,"Калининградская область, Калининград, р-н Московский, Батальная улица, 66",18.9,6,1986,,,,,,,,,
30,1,8,2050000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",,,2013,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
18.7,4,5,930000,"Калининградская область, Калининград, р-н Московский, Прибрежный мкр, улица Заводская, 31",13.3,,,1, совмещенный,,,Косметический,,,,
31,3,5,1460000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",18,5.6,1974,1, совмещенный,1, балкон,Без ремонта,Панельный,,,
44.5,2,9,2250000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого, 15",18.8,9,2011,1, совмещенный,1, лоджия,,,Железобетонные,Центральное,Центральное
31,5,5,1850000,"Калининградская область, Калининград, р-н Московский, улица Багратиона",,,,1, совмещенный,1, балкон,Косметический,Блочный,,,
33.4,5,5,1550000,"Калининградская область, Калининград, р-н Московский, Машиностроительная улица, 100",17,7,1977,1, раздельный,1, лоджия,,,,,
41,7,7,2600000,"Калининградская область, Калининград, р-н Московский, улица Володарского, 4Б",16,12,2019,,,1, балкон,Косметический,,,,
32,4,9,2100000,"Калининградская область, Калининград, р-н Московский, Минусинская улица, 14",,9,2014,1, совмещенный,1, балкон,Косметический,,,,
39,6,8,2500000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",18,,2012,1, совмещенный,1, лоджия,Косметический,,,,
29.6,2,5,1650000,"Калининградская область, Калининград, р-н Московский, Мукомольная улица, 10",18,6,1974,1, совмещенный,1, балкон,Косметический,Блочный,Смешанные,Центральное,Центральное
38,3,9,1700000,"Калининградская область, Калининград, р-н Московский, Батальная улица, 68",19.1,6,1980,1, раздельный,,,Косметический,,,,
